timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label,label_coor,coordinate
553292764,-60.0,-71.0,-50.0,-62.0,31.0,"(6.0, 0)",1-11
553294970,-59.0,-71.0,-54.0,-66.0,31.0,"(6.0, 0)",1-11
553296775,-58.0,-71.0,-56.0,-64.0,31.0,"(6.0, 0)",1-11
553291830,-59.0,-71.0,-52.0,-58.0,31.0,"(6.0, 0)",1-11
553291452,-59.0,-71.0,-54.0,-62.0,31.0,"(6.0, 0)",1-11
553296577,-59.0,-71.0,-54.0,-60.0,31.0,"(6.0, 0)",1-11
553296141,-59.0,-71.0,-55.0,-65.0,31.0,"(6.0, 0)",1-11
553293817,-60.0,-71.0,-55.0,-64.0,31.0,"(6.0, 0)",1-11
553290929,-59.0,-71.0,-49.0,,31.0,"(6.0, 0)",1-11
553291188,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553294417,-53.0,-71.0,-52.0,-60.0,31.0,"(6.0, 0)",1-11
553296835,-59.0,-71.0,-51.0,-69.0,31.0,"(6.0, 0)",1-11
553295054,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553290790,,,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553296656,-60.0,-71.0,-51.0,-65.0,31.0,"(6.0, 0)",1-11
553294842,-59.0,-71.0,-55.0,-66.0,31.0,"(6.0, 0)",1-11
553292108,-59.0,-71.0,-54.0,-56.0,31.0,"(6.0, 0)",1-11
553293863,-60.0,-71.0,-53.0,-65.0,31.0,"(6.0, 0)",1-11
553295401,-52.0,-71.0,-53.0,-64.0,31.0,"(6.0, 0)",1-11
553291488,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553291687,-60.0,,-52.0,-59.0,31.0,"(6.0, 0)",1-11
553296529,-54.0,-71.0,-54.0,-60.0,31.0,"(6.0, 0)",1-11
553296483,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553295447,-59.0,-71.0,-55.0,-67.0,31.0,"(6.0, 0)",1-11
553295242,-59.0,-71.0,-55.0,-66.0,31.0,"(6.0, 0)",1-11
553291763,-59.0,-71.0,-50.0,-63.0,31.0,"(6.0, 0)",1-11
553290458,-59.0,-71.0,-53.0,,31.0,"(6.0, 0)",1-11
553292007,-60.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553295803,-53.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553291553,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553293271,-59.0,-71.0,-54.0,-56.0,31.0,"(6.0, 0)",1-11
553291572,-59.0,-71.0,-51.0,-58.0,31.0,"(6.0, 0)",1-11
553291205,-60.0,-71.0,-53.0,-63.0,31.0,"(6.0, 0)",1-11
553293674,-60.0,-71.0,-52.0,-58.0,31.0,"(6.0, 0)",1-11
553296727,-59.0,-71.0,-59.0,-66.0,31.0,"(6.0, 0)",1-11
553295787,-59.0,-71.0,-53.0,-62.0,31.0,"(6.0, 0)",1-11
553291506,-59.0,-71.0,-50.0,-59.0,31.0,"(6.0, 0)",1-11
553294209,-55.0,-71.0,-53.0,-65.0,31.0,"(6.0, 0)",1-11
553290823,-59.0,-71.0,-51.0,-55.0,31.0,"(6.0, 0)",1-11
553296805,-59.0,-71.0,-56.0,-64.0,31.0,"(6.0, 0)",1-11
553295292,-59.0,-71.0,-54.0,-66.0,31.0,"(6.0, 0)",1-11
553296791,-58.0,-71.0,-55.0,-68.0,31.0,"(6.0, 0)",1-11
553293913,-60.0,-70.0,,,31.0,"(6.0, 0)",1-11
553296267,-60.0,-71.0,-53.0,-59.0,31.0,"(6.0, 0)",1-11
553290542,-59.0,-71.0,-51.0,-62.0,31.0,"(6.0, 0)",1-11
553292355,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553292155,-59.0,-71.0,-54.0,-61.0,31.0,"(6.0, 0)",1-11
553290300,-62.0,-70.0,-59.0,,31.0,"(6.0, 0)",1-11
