timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
604735765,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729711,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731089,-57.0,-72.0,-60.0,-45.0,1-1,"(0, 0)","(0, 0)"
604730255,-62.0,-72.0,-63.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730340,-62.0,-72.0,-63.0,-48.0,1-1,"(0, 0)","(0, 0)"
604730837,-62.0,-72.0,-63.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733076,-62.0,-72.0,-65.0,-42.0,1-1,"(0, 0)","(0, 0)"
604731844,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732906,,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729401,,-72.0,-62.0,-41.0,1-1,"(0, 0)","(0, 0)"
604733741,-57.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604733700,-57.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604733175,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735681,-62.0,-72.0,-65.0,-43.0,1-1,"(0, 0)","(0, 0)"
604730397,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604735355,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604729668,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730663,-62.0,-72.0,-61.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734975,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731773,-62.0,-72.0,-64.0,-42.0,1-1,"(0, 0)","(0, 0)"
604734221,-62.0,-72.0,-61.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732735,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604731660,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734514,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729230,,-72.0,-60.0,-44.0,1-1,"(0, 0)","(0, 0)"
604734094,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729425,,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730551,-50.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735469,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731989,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732963,-57.0,-72.0,-64.0,-46.0,1-1,"(0, 0)","(0, 0)"
604731801,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735089,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732171,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730019,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604732421,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729519,-62.0,-72.0,-62.0,-43.0,1-1,"(0, 0)","(0, 0)"
604735243,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731403,,-72.0,,,1-1,"(0, 0)","(0, 0)"
604730297,-62.0,-72.0,-63.0,-43.0,1-1,"(0, 0)","(0, 0)"
604729793,-61.0,-72.0,-63.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735033,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731702,-62.0,-72.0,-62.0,-45.0,1-1,"(0, 0)","(0, 0)"
604735808,-62.0,-72.0,-63.0,-44.0,1-1,"(0, 0)","(0, 0)"
604730353,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
