timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
493453295,-60.0,-68.0,-61.0,-59.0,,,
493449532,-62.0,-70.0,-59.0,-59.0,,,
493453815,-61.0,-69.0,-62.0,-55.0,,,
493452063,-62.0,-69.0,-63.0,-55.0,,,
493451194,-61.0,-70.0,-62.0,-55.0,,,
493451796,-62.0,-69.0,-63.0,-60.0,,,
493451403,-61.0,-70.0,-62.0,-61.0,,,
493450420,-53.0,-70.0,-62.0,-59.0,,,
493454696,-62.0,-70.0,-61.0,-59.0,,,
493449405,-61.0,-70.0,-63.0,-59.0,,,
493449996,-60.0,-70.0,-62.0,-59.0,,,
493451361,,,-61.0,-61.0,,,
493450977,-61.0,-70.0,-64.0,-61.0,,,
493454020,-61.0,-70.0,-62.0,-60.0,,,
493454383,-61.0,-70.0,-62.0,-61.0,,,
493449761,-61.0,-70.0,-62.0,-59.0,,,
493454208,-62.0,-70.0,-61.0,-55.0,,,
493453048,-61.0,-70.0,-60.0,-60.0,,,
493455118,,-70.0,,,,,
493450143,-52.0,-70.0,-63.0,-59.0,,,
493450070,-61.0,-70.0,-62.0,-59.0,,,
493450868,-61.0,-70.0,-64.0,-60.0,,,
493452194,-61.0,-69.0,-62.0,-59.0,,,
493450653,-61.0,-70.0,-63.0,-60.0,,,
493452092,-62.0,-69.0,-64.0,-61.0,,,
493454398,-62.0,-69.0,-62.0,-58.0,,,
493450099,-61.0,-70.0,-62.0,-59.0,,,
493455321,-62.0,-70.0,-62.0,-56.0,,,
493449121,-61.0,-70.0,-64.0,-60.0,,,
493452874,-61.0,-70.0,-61.0,-60.0,,,
493454426,-61.0,-69.0,-62.0,-60.0,,,
493452482,-61.0,-69.0,-61.0,-59.0,,,
493454974,-61.0,-70.0,-62.0,-61.0,,,
493450595,-61.0,-70.0,-60.0,-60.0,,,
493455378,-61.0,-68.0,-61.0,-59.0,,,
493450056,-61.0,-70.0,-59.0,-57.0,,,
493452962,-61.0,-69.0,-62.0,-62.0,,,
493453540,-61.0,-69.0,-60.0,-61.0,,,
493450751,-61.0,-70.0,-63.0,-61.0,,,
493450084,-61.0,-70.0,-62.0,-60.0,,,
493453077,-61.0,-69.0,-60.0,-55.0,,,
493450260,-61.0,-70.0,-63.0,-60.0,,,
493451592,-61.0,-70.0,-65.0,-59.0,,,
493450012,-61.0,-70.0,-62.0,-54.0,,,
493451166,-61.0,-70.0,-64.0,-61.0,,,
493450041,-60.0,-70.0,-62.0,-59.0,,,
493449966,-61.0,-70.0,-62.0,-59.0,,,
493452343,-62.0,-69.0,-62.0,-59.0,,,
493454857,-62.0,-69.0,-62.0,-60.0,,,
493453208,-61.0,-69.0,-60.0,-60.0,,,
493452672,-55.0,-68.0,-61.0,-59.0,,,
493449444,-61.0,-70.0,-63.0,-60.0,,,
493452468,-56.0,-69.0,-63.0,-61.0,,,
493453468,-61.0,-70.0,-60.0,,,,
493454740,-60.0,-69.0,-61.0,-60.0,,,
493455089,-55.0,-70.0,-61.0,-60.0,,,
493449149,-61.0,-70.0,-61.0,-60.0,,,
493454668,-62.0,-69.0,-62.0,-59.0,,,
493449205,-60.0,-70.0,-62.0,-58.0,,,
493455277,-61.0,-70.0,-62.0,-60.0,,,
493454683,-62.0,-70.0,-62.0,-60.0,,,
493448952,-63.0,-69.0,-61.0,-56.0,,,
493449262,-55.0,-70.0,-63.0,-60.0,,,
493453149,-60.0,-70.0,-60.0,-60.0,,,
493454281,-61.0,-70.0,-61.0,-60.0,,,
493449776,-61.0,-70.0,-62.0,-59.0,,,
493451696,-61.0,-70.0,-64.0,-60.0,,,
493454540,-62.0,-70.0,-59.0,-59.0,,,
493453266,-56.0,-70.0,-61.0,-60.0,,,
493451946,-61.0,-69.0,-62.0,-60.0,,,
493453310,-60.0,-69.0,-61.0,-59.0,,,
493454484,-61.0,-69.0,-62.0,-59.0,,,
493449337,-61.0,-70.0,-63.0,-59.0,,,
493454193,-60.0,-68.0,-60.0,-54.0,,,
493451855,-62.0,-69.0,-64.0,-60.0,,,
493453339,-61.0,-70.0,-60.0,-60.0,,,
493449575,-61.0,-70.0,-61.0,-60.0,,,
493451518,-62.0,-70.0,-65.0,-61.0,,,
493455335,-55.0,-70.0,-61.0,-61.0,,,
493450638,-52.0,-70.0,-62.0,-57.0,,,
493454121,-60.0,-69.0,-60.0,-60.0,,,
493453671,-61.0,-69.0,-60.0,-58.0,,,
493453178,-60.0,-69.0,-58.0,-60.0,,,
493449304,-61.0,-70.0,-63.0,-60.0,,,
493449632,-61.0,-70.0,-62.0,-61.0,,,
493455247,-62.0,-70.0,-60.0,-60.0,,,
493455392,-60.0,-70.0,-63.0,-59.0,,,
493450933,-61.0,-70.0,-64.0,-60.0,,,
493450304,-61.0,-70.0,-63.0,-60.0,,,
493449790,-61.0,-70.0,-61.0,-54.0,,,
493451180,-61.0,-70.0,-64.0,-61.0,,,
493449325,-61.0,-70.0,-63.0,-60.0,,,
493449234,-61.0,-69.0,-64.0,-60.0,,,
493449912,-61.0,-70.0,-62.0,-60.0,,,
493454799,-61.0,-69.0,-61.0,-60.0,,,
493453511,-61.0,-70.0,-60.0,-61.0,,,
493449419,-61.0,-70.0,-63.0,-60.0,,,
493450173,-61.0,-70.0,-63.0,-60.0,,,
493453438,-60.0,-70.0,-61.0,-61.0,,,
493450780,-61.0,-70.0,-63.0,-56.0,,,
493455364,-61.0,-70.0,-62.0,-61.0,,,
493454063,-62.0,-69.0,-61.0,-60.0,,,
493450318,-61.0,-70.0,-64.0,-60.0,,,
493452453,-62.0,-69.0,-63.0,-61.0,,,
493454625,-62.0,-69.0,-62.0,-59.0,,,
493454511,-62.0,-70.0,-61.0,-59.0,,,
493454725,-62.0,-69.0,-61.0,-58.0,,,
493452360,,-69.0,,,,,
493450464,-61.0,-70.0,-61.0,-58.0,,,
493454339,-61.0,-70.0,-61.0,-60.0,,,
493449039,-62.0,-70.0,-65.0,-58.0,,,
493449618,-62.0,-70.0,-59.0,-60.0,,,
493451534,-61.0,-70.0,-64.0,-60.0,,,
493450853,-61.0,-70.0,-64.0,-60.0,,,
493454568,-62.0,-70.0,-62.0,-59.0,,,
493454006,-55.0,-69.0,-56.0,-60.0,,,
493449220,-61.0,-70.0,-64.0,-60.0,,,
493454989,-60.0,-68.0,-61.0,-60.0,,,
493455103,-60.0,-68.0,-61.0,-61.0,,,
493454150,-61.0,-69.0,-63.0,-61.0,,,
493448984,-56.0,-69.0,-63.0,-51.0,,,
493449248,-61.0,-69.0,-64.0,-55.0,,,
493455190,-52.0,-69.0,-63.0,-59.0,,,
493449832,-55.0,-70.0,-62.0,-59.0,,,
493455032,-62.0,-69.0,-61.0,-60.0,,,
493452774,-61.0,-68.0,-62.0,-59.0,,,
493451460,-61.0,-69.0,-63.0,-60.0,,,
493449873,-61.0,-70.0,-62.0,-59.0,,,
493450552,-61.0,-70.0,-61.0,-58.0,,,
493453091,-61.0,-70.0,-60.0,-60.0,,,
493452164,-62.0,-69.0,-60.0,-58.0,,,
493449390,-61.0,-70.0,-63.0,-55.0,,,
493451753,-61.0,-69.0,-62.0,-60.0,,,
493451740,-61.0,-68.0,-63.0,-60.0,,,
493449350,-60.0,-70.0,-63.0,-60.0,,,
493449094,-62.0,-70.0,-63.0,-60.0,,,
493454886,-62.0,-70.0,-61.0,-60.0,,,
493450522,-61.0,-70.0,-62.0,-59.0,,,
493452299,-62.0,-69.0,-62.0,-59.0,,,
493455047,-61.0,-70.0,-61.0,-55.0,,,
