alpha,run,error
0.1,1,4.569463863518345
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.6
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.6000000000000001
0.1,1,0.0
0.1,1,0.0
0.1,1,2.4
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,1.2
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.6
0.1,1,3.2310988842807027
0.1,1,3.6000000000000005
0.1,1,0.0
0.1,1,1.8973665961010275
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.6000000000000001
0.1,1,3.5999999999999996
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,2.4
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,5.43323108288245
0.1,1,5.43323108288245
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.6
0.1,1,1.3416407864998738
0.1,1,1.8973665961010278
0.1,1,0.0
0.1,1,0.0
0.1,1,3.5999999999999996
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.5999999999999996
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,1.8
0.1,1,0.0
0.1,1,0.0
0.1,1,1.3416407864998738
0.1,1,0.5999999999999999
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.4985711369071804
0.1,1,2.4000000000000004
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.6496575181789317
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,2.1633307652783933
0.1,1,0.0
0.1,1,5.43323108288245
0.1,1,1.8973665961010278
0.1,1,0.0
0.1,1,0.0
0.1,1,3.49857113690718
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,4.368065933568311
0.1,1,1.8973665961010275
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,5.43323108288245
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.5999999999999999
0.1,1,0.0
0.1,1,0.0
0.1,1,0.6
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,1.8000000000000003
0.1,1,0.0
0.1,1,0.6000000000000001
0.1,1,0.0
0.1,1,0.5999999999999996
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,2.1633307652783933
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,2.1633307652783933
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,4.5694638635183455
0.1,1,0.0
0.1,1,0.0
0.1,1,3.4985711369071804
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,5.692099788303083
0.1,1,0.0
0.1,1,3.2310988842807027
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.8418745424597094
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,5.692099788303083
0.1,1,0.0
0.1,1,0.0
0.1,1,3.6496575181789317
0.1,1,1.697056274847714
0.1,1,6.997142273814361
0.1,1,3.059411708155671
0.1,1,0.0
0.1,1,4.2
0.1,1,0.6000000000000001
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.0
0.1,1,0.0
0.1,1,3.6
0.1,1,0.0
0.1,1,0.0
0.1,1,3.4985711369071804
0.1,1,0.0
0.1,1,2.1633307652783933
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,5.909314681077663
0.1,1,0.0
0.1,1,3.2310988842807027
0.1,1,0.0
0.1,1,3.0
0.1,1,1.8
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,5.126402247190518
0.1,1,0.0
0.1,1,0.0
0.1,1,3.4985711369071804
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.5999999999999996
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.6000000000000001
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,4.800000000000001
0.1,1,3.5999999999999996
0.1,1,1.8
0.1,1,2.4
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,1.3416407864998738
0.1,1,0.0
0.1,1,0.0
0.1,1,4.8373546489791295
0.1,1,0.0
0.1,1,0.0
0.1,1,1.2000000000000002
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,1.8973665961010275
0.1,1,0.0
0.1,1,4.2
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.059411708155671
0.1,1,0.0
0.1,1,0.0
0.1,1,0.5999999999999996
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,1.8973665961010273
0.1,1,0.0
0.1,1,0.0
0.1,1,0.6000000000000001
0.1,1,3.5999999999999996
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,3.0
0.1,1,0.0
0.1,1,0.0
0.1,1,1.8
0.1,1,0.0
0.1,1,3.059411708155671
0.1,1,0.6000000000000001
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,0.0
0.1,1,4.8373546489791295
0.1,1,0.0
