run,sample_idx,error
1,1,4.2
1,2,4.947726750741193
1,3,4.2
1,4,4.2
1,5,4.2
1,6,4.2
1,7,4.2
1,8,4.2
1,9,4.2
1,10,4.2
1,11,4.2
1,12,4.2
1,13,4.2
1,14,4.2
1,15,4.2
1,16,4.2
1,17,4.2
1,18,4.2
1,19,4.2
1,20,4.2
1,21,4.2
1,22,4.8
1,23,4.8
1,24,4.2
1,25,4.2
1,26,4.2
1,27,4.2
1,28,4.2
1,29,4.2
1,30,4.2
1,31,4.2
1,32,4.2
1,33,4.2
1,34,4.2
1,35,4.2
1,36,4.2
1,37,4.2
1,38,4.2
1,39,4.2
1,40,4.8
1,41,4.2
1,42,4.2
1,43,4.2
1,44,4.2
1,45,4.2
1,46,4.2
1,47,4.2
1,48,4.2
1,49,4.8
1,50,4.2
1,51,4.2
1,52,4.2
1,53,4.2
1,54,4.2
1,55,4.2
1,56,4.2
1,57,4.2
1,58,4.2
1,59,4.947726750741193
1,60,4.947726750741193
1,61,4.947726750741193
1,62,4.8
1,63,4.2
1,64,4.947726750741193
1,65,4.2
1,66,4.2
1,67,4.2
1,68,4.2
1,69,4.2
1,70,4.2
1,71,4.2
1,72,4.2
1,73,4.947726750741193
1,74,4.2
1,75,4.2
1,76,4.8
1,77,4.2
1,78,4.8
1,79,4.2
1,80,4.2
1,81,4.2
1,82,4.2
1,83,4.8
1,84,4.2
1,85,4.8
1,86,4.2
1,87,4.2
1,88,4.2
1,89,4.2
1,90,4.8
1,91,4.8
1,92,4.8
1,93,4.8
1,94,4.8
1,95,4.8
1,96,4.2
1,97,4.8
1,98,4.8
1,99,4.8
1,100,4.8
1,101,4.8
1,102,4.8
1,103,4.8
1,104,4.8
1,105,4.8
1,106,4.8
1,107,4.8
1,108,4.947726750741193
1,109,4.8
1,110,4.8
1,111,4.8
1,112,4.8
1,113,4.8
1,114,4.8
1,115,4.8
1,116,4.8
1,117,4.8
1,118,4.8
1,119,4.2
1,120,4.2
1,121,4.2
1,122,4.2
1,123,4.2
1,124,4.2
1,125,4.2
1,126,4.2
1,127,4.2
1,128,4.2
1,129,4.947726750741193
1,130,4.2
1,131,4.2
1,132,4.2
1,133,4.2
1,134,4.2
1,135,4.2
1,136,4.2
1,137,4.8
1,138,4.2
1,139,4.8
1,140,4.8
1,141,4.2
1,142,4.2
1,143,4.8
1,144,4.2
1,145,4.8
1,146,4.8
1,147,4.8
1,148,4.8
1,149,4.8
1,150,4.8
1,151,4.8
1,152,4.8
1,153,4.8
1,154,4.8
1,155,4.8
1,156,4.8
1,157,4.8
1,158,4.8
1,159,4.8
1,160,4.8
1,161,4.8
1,162,4.8
1,163,4.8
1,164,4.8
1,165,3.0
1,166,3.0
1,167,4.2
1,168,4.8
1,169,4.8
1,170,4.8
1,171,4.8
1,172,4.8
1,173,4.8
1,174,4.8
1,175,4.8
1,176,4.8
1,177,4.8
1,178,4.8
1,179,4.8
1,180,4.8
1,181,4.8
1,182,4.8
1,183,4.2
1,184,4.8
1,185,4.2
1,186,4.2
1,187,4.2
1,188,4.2
1,189,4.2
1,190,4.2
1,191,4.2
1,192,4.2
1,193,4.2
1,194,4.8
1,195,4.2
1,196,4.2
1,197,4.2
1,198,4.2
1,199,4.2
1,200,4.2
1,201,4.2
1,202,4.8
1,203,4.2
1,204,4.2
